id	predict	actual
626	Normal	Normal
627	Bronze	Gloden
628	Silver	Normal
629	Silver	Silver
630	Bronze	Silver
631	Bronze	Bronze
632	Bronze	Bronze
633	Bronze	Bronze
634	Silver	Bronze
635	Bronze	Bronze
636	Gloden	Gloden
637	Bronze	Bronze
638	Bronze	Bronze
639	Bronze	Silver
640	Bronze	Silver
641	Normal	Bronze
642	Bronze	Bronze
643	Bronze	Bronze
644	Bronze	Bronze
645	Bronze	Bronze
646	Silver	Silver
647	Bronze	Silver
648	Bronze	Bronze
649	Gloden	Gloden
650	Bronze	Bronze
651	Bronze	Bronze
652	Bronze	Bronze
653	Gloden	Gloden
654	Bronze	Bronze
655	Bronze	Bronze
656	Bronze	Silver
657	Silver	Bronze
658	Gloden	Bronze
659	Gloden	Silver
660	Silver	Bronze
661	Bronze	Bronze
662	Silver	Silver
663	Bronze	Bronze
664	Bronze	Bronze
665	Bronze	Bronze
666	Bronze	Bronze
667	Bronze	Bronze
668	Gloden	Bronze
669	Bronze	Bronze
670	Silver	Silver
671	Gloden	Gloden
672	Normal	Normal
673	Bronze	Bronze
674	Normal	Normal
675	Bronze	Bronze
676	Silver	Gloden
677	Silver	Bronze
678	Bronze	Bronze
679	Bronze	Bronze
680	Bronze	Bronze
681	Bronze	Bronze
682	Bronze	Bronze
683	Bronze	Bronze
684	Normal	Normal
685	Silver	Bronze
686	Bronze	Bronze
687	Silver	Bronze
688	Bronze	Bronze
689	Bronze	Bronze
690	Gloden	Gloden
691	Bronze	Silver
692	Bronze	Normal
693	Bronze	Bronze
694	Bronze	Bronze
695	Bronze	Bronze
696	Gloden	Gloden
697	Silver	Bronze
698	Bronze	Bronze
699	Bronze	Bronze
700	Bronze	Bronze
701	Silver	Silver
702	Bronze	Bronze
703	Gloden	Silver
704	Gloden	Silver
705	Bronze	Silver
706	Bronze	Bronze
707	Bronze	Bronze
708	Silver	Silver
709	Silver	Normal
710	Bronze	Bronze
711	Bronze	Bronze
712	Bronze	Bronze
713	Normal	Bronze
714	Bronze	Bronze
715	Bronze	Bronze
716	Bronze	Normal
717	Silver	Normal
718	Bronze	Bronze
719	Gloden	Gloden
720	Bronze	Bronze
721	Gloden	Gloden
722	Bronze	Gloden
723	Gloden	Gloden
724	Silver	Silver
725	Bronze	Normal
726	Bronze	Bronze
727	Bronze	Bronze
728	Bronze	Normal
729	Gloden	Gloden
730	Normal	Normal
731	Gloden	Gloden
732	Bronze	Gloden
733	Bronze	Bronze
734	Silver	Silver
735	Bronze	Bronze
736	Bronze	Bronze
737	Normal	Normal
738	Bronze	Bronze
739	Gloden	Silver
740	Bronze	Bronze
741	Bronze	Bronze
742	Bronze	Bronze
743	Bronze	Bronze
744	Silver	Silver
745	Bronze	Bronze
746	Silver	Silver
747	Bronze	Bronze
748	Gloden	Bronze
749	Gloden	Bronze
750	Gloden	Gloden
751	Gloden	Gloden
752	Bronze	Silver
753	Normal	Normal
754	Normal	Normal
755	Bronze	Gloden
756	Bronze	Bronze
757	Bronze	Bronze
758	Bronze	Silver
759	Bronze	Bronze
760	Bronze	Bronze
761	Gloden	Gloden
762	Bronze	Silver
763	Bronze	Silver
764	Normal	Bronze
765	Silver	Gloden
766	Bronze	Bronze
767	Bronze	Bronze
768	Normal	Normal
769	Bronze	Silver
770	Bronze	Silver
771	Bronze	Normal
772	Gloden	Silver
773	Normal	Normal
774	Bronze	Bronze
775	Bronze	Bronze
776	Silver	Gloden
777	Normal	Normal
778	Bronze	Bronze
779	Silver	Silver
780	Bronze	Silver
781	Silver	Normal
782	Bronze	Bronze
783	Bronze	Bronze
784	Gloden	Gloden
785	Bronze	Bronze
786	Normal	Normal
787	Bronze	Bronze
788	Bronze	Bronze
789	Bronze	Bronze
790	Bronze	Bronze
791	Silver	Silver
792	Normal	Normal
793	Silver	Normal
794	Gloden	Gloden
795	Normal	Silver
796	Silver	Gloden
797	Bronze	Bronze
798	Normal	Normal
799	Gloden	Gloden
800	Bronze	Bronze
801	Gloden	Gloden
802	Bronze	Bronze
803	Bronze	Bronze
804	Bronze	Gloden
805	Bronze	Bronze
806	Normal	Normal
807	Gloden	Gloden
808	Silver	Silver
809	Normal	Normal
810	Bronze	Bronze
811	Bronze	Bronze
812	Silver	Gloden
813	Bronze	Gloden
814	Bronze	Bronze
815	Bronze	Gloden
816	Gloden	Gloden
817	Silver	Silver
818	Silver	Silver
819	Bronze	Bronze
820	Bronze	Silver
821	Bronze	Bronze
822	Bronze	Bronze
823	Bronze	Bronze
824	Bronze	Bronze
825	Normal	Bronze
826	Silver	Silver
827	Bronze	Bronze
828	Silver	Bronze
829	Bronze	Bronze
830	Normal	Bronze
831	Bronze	Gloden
832	Bronze	Bronze
833	Bronze	Bronze
834	Bronze	Silver
835	Gloden	Bronze
836	Bronze	Bronze
837	Bronze	Normal
838	Silver	Silver
839	Normal	Normal
840	Gloden	Gloden
841	Bronze	Bronze
842	Bronze	Gloden
843	Bronze	Bronze
844	Bronze	Silver
845	Bronze	Bronze
846	Bronze	Normal
847	Bronze	Gloden
848	Bronze	Bronze
849	Silver	Silver
850	Silver	Silver
851	Bronze	Bronze
852	Silver	Bronze
853	Bronze	Gloden
854	Silver	Bronze
855	Silver	Silver
856	Bronze	Bronze
857	Bronze	Bronze
858	Bronze	Normal
859	Bronze	Bronze
860	Normal	Gloden
861	Bronze	Bronze
862	Bronze	Normal
863	Gloden	Gloden
864	Bronze	Bronze
865	Normal	Normal
866	Silver	Bronze
867	Bronze	Bronze
868	Silver	Silver
869	Gloden	Gloden
870	Bronze	Silver
871	Bronze	Silver
872	Bronze	Gloden
873	Bronze	Bronze
874	Bronze	Bronze
875	Normal	Normal
876	Normal	Normal
877	Gloden	Silver
878	Bronze	Normal
879	Bronze	Silver
880	Gloden	Bronze
881	Bronze	Silver
882	Bronze	Bronze
883	Bronze	Bronze
884	Bronze	Silver
885	Bronze	Bronze
886	Bronze	Bronze
887	Normal	Bronze
888	Gloden	Bronze
889	Bronze	Gloden
890	Bronze	Bronze
891	Bronze	Bronze
892	Bronze	Bronze
893	Bronze	Silver
894	Gloden	Silver
895	Bronze	Bronze
896	Bronze	Bronze
897	Bronze	Bronze
898	Bronze	Silver
899	Bronze	Normal
900	Silver	Gloden
901	Bronze	Bronze
902	Bronze	Normal
903	Bronze	Bronze
904	Bronze	Bronze
905	Normal	Normal
906	Bronze	Normal
907	Silver	Bronze
908	Silver	Silver
909	Bronze	Bronze
910	Gloden	Gloden
911	Bronze	Silver
912	Bronze	Bronze
913	Bronze	Bronze
914	Silver	Gloden
915	Bronze	Bronze
916	Normal	Gloden
917	Bronze	Bronze
918	Bronze	Silver
919	Bronze	Bronze
920	Gloden	Gloden
921	Silver	Gloden
922	Normal	Normal
923	Normal	Normal
924	Bronze	Silver
925	Normal	Normal
926	Bronze	Bronze
927	Bronze	Bronze
928	Bronze	Bronze
929	Normal	Normal
930	Bronze	Bronze
931	Gloden	Gloden
932	Silver	Gloden
933	Bronze	Bronze
934	Bronze	Normal
935	Bronze	Silver
936	Bronze	Bronze
937	Bronze	Bronze
938	Bronze	Bronze
939	Silver	Silver
940	Bronze	Bronze
941	Bronze	Silver
942	Bronze	Silver
943	Bronze	Gloden
944	Gloden	Gloden
945	Bronze	Bronze
946	Bronze	Bronze
947	Bronze	Bronze
948	Normal	Normal
949	Bronze	Bronze
950	Bronze	Bronze
951	Bronze	Silver
952	Bronze	Bronze
953	Bronze	Bronze
954	Normal	Normal
955	Bronze	Gloden
956	Gloden	Gloden
957	Bronze	Bronze
958	Normal	Normal
959	Normal	Normal
960	Normal	Bronze
961	Bronze	Bronze
962	Normal	Normal
963	Bronze	Bronze
964	Normal	Normal
965	Silver	Gloden
966	Silver	Silver
967	Bronze	Bronze
968	Bronze	Silver
969	Bronze	Bronze
970	Gloden	Gloden
971	Bronze	Bronze
972	Bronze	Gloden
973	Bronze	Bronze
974	Bronze	Gloden
975	Gloden	Bronze
976	Normal	Normal
977	Bronze	Bronze
978	Bronze	Silver
979	Silver	Gloden
980	Normal	Normal
981	Bronze	Gloden
982	Gloden	Gloden
983	Bronze	Bronze
984	Bronze	Bronze
985	Bronze	Silver
986	Gloden	Gloden
987	Bronze	Bronze
988	Bronze	Bronze
989	Bronze	Bronze
990	Normal	Normal
991	Bronze	Bronze
992	Bronze	Bronze
993	Silver	Gloden
994	Gloden	Bronze
995	Bronze	Bronze
996	Gloden	Gloden
997	Normal	Normal
998	Silver	Silver
999	Bronze	Bronze
1000	Bronze	Bronze
1001	Silver	Bronze
1002	Bronze	Normal
1003	Bronze	Bronze
1004	Gloden	Bronze
1005	Silver	Silver
1006	Bronze	Bronze
1007	Bronze	Bronze
1008	Bronze	Bronze
1009	Bronze	Bronze
1010	Normal	Normal
1011	Normal	Silver
1012	Normal	Normal
1013	Bronze	Bronze
1014	Bronze	Bronze
1015	Gloden	Gloden
1016	Bronze	Normal
1017	Bronze	Bronze
1018	Normal	Gloden
1019	Gloden	Gloden
1020	Bronze	Bronze
1021	Bronze	Bronze
1022	Gloden	Bronze
1023	Silver	Silver
1024	Bronze	Gloden
1025	Bronze	Bronze
1026	Normal	Normal
1027	Silver	Normal
1028	Bronze	Bronze
1029	Bronze	Normal
1030	Bronze	Silver
1031	Bronze	Bronze
1032	Bronze	Bronze
1033	Silver	Gloden
1034	Gloden	Gloden
1035	Normal	Normal
1036	Bronze	Bronze
1037	Silver	Bronze
1038	Bronze	Bronze
1039	Silver	Bronze
1040	Bronze	Silver
1041	Bronze	Normal
1042	Gloden	Gloden
1043	Bronze	Gloden
1044	Bronze	Bronze
1045	Bronze	Bronze
1046	Gloden	Gloden
1047	Normal	Normal
1048	Bronze	Bronze
1049	Silver	Silver
1050	Bronze	Normal
1051	Bronze	Gloden
1052	Bronze	Bronze
1053	Bronze	Bronze
1054	Bronze	Bronze
1055	Gloden	Bronze
1056	Bronze	Bronze
1057	Bronze	Silver
1058	Normal	Normal
1059	Normal	Normal
1060	Bronze	Normal
1061	Silver	Silver
1062	Bronze	Silver
1063	Normal	Normal
1064	Bronze	Bronze
1065	Gloden	Gloden
1066	Bronze	Bronze
1067	Bronze	Silver
1068	Bronze	Silver
1069	Bronze	Bronze
1070	Normal	Normal
1071	Silver	Silver
1072	Bronze	Bronze
1073	Bronze	Gloden
1074	Bronze	Bronze
1075	Bronze	Normal
1076	Silver	Bronze
1077	Bronze	Bronze
1078	Bronze	Bronze
1079	Bronze	Bronze
1080	Bronze	Silver
1081	Bronze	Gloden
1082	Bronze	Bronze
1083	Normal	Bronze
1084	Silver	Gloden
1085	Normal	Normal
1086	Bronze	Bronze
1087	Normal	Normal
1088	Bronze	Bronze
1089	Bronze	Gloden
1090	Normal	Normal
1091	Bronze	Bronze
1092	Normal	Gloden
1093	Bronze	Silver
1094	Silver	Bronze
1095	Bronze	Bronze
1096	Silver	Silver
1097	Gloden	Gloden
1098	Bronze	Bronze
1099	Bronze	Bronze
1100	Bronze	Bronze
1101	Bronze	Silver
1102	Bronze	Bronze
1103	Bronze	Bronze
1104	Normal	Gloden
1105	Bronze	Bronze
1106	Bronze	Bronze
1107	Silver	Bronze
1108	Bronze	Bronze
1109	Silver	Gloden
1110	Bronze	Silver
1111	Bronze	Silver
1112	Bronze	Bronze
1113	Normal	Gloden
1114	Bronze	Gloden
1115	Bronze	Bronze
1116	Bronze	Bronze
1117	Bronze	Bronze
1118	Silver	Silver
1119	Silver	Bronze
1120	Bronze	Bronze
1121	Gloden	Gloden
1122	Silver	Bronze
1123	Normal	Silver
1124	Bronze	Bronze
1125	Bronze	Normal
1126	Bronze	Bronze
1127	Bronze	Bronze
1128	Normal	Normal
1129	Silver	Bronze
1130	Bronze	Silver
1131	Gloden	Silver
1132	Bronze	Bronze
1133	Bronze	Bronze
1134	Normal	Gloden
1135	Bronze	Bronze
1136	Bronze	Bronze
1137	Bronze	Silver
1138	Bronze	Bronze
1139	Bronze	Normal
1140	Bronze	Bronze
1141	Bronze	Bronze
1142	Normal	Normal
1143	Bronze	Bronze
1144	Bronze	Bronze
1145	Bronze	Gloden
1146	Gloden	Gloden
1147	Bronze	Bronze
1148	Silver	Bronze
1149	Bronze	Normal
1150	Bronze	Bronze
1151	Silver	Gloden
1152	Bronze	Bronze
1153	Bronze	Bronze
1154	Bronze	Bronze
1155	Bronze	Bronze
1156	Gloden	Gloden
1157	Normal	Normal
1158	Normal	Normal
1159	Bronze	Bronze
1160	Bronze	Bronze
1161	Bronze	Gloden
1162	Bronze	Gloden
1163	Bronze	Bronze
1164	Normal	Normal
1165	Bronze	Bronze
1166	Bronze	Normal
1167	Gloden	Normal
1168	Bronze	Bronze
1169	Normal	Normal
1170	Bronze	Silver
1171	Gloden	Gloden
1172	Normal	Normal
1173	Normal	Bronze
1174	Bronze	Normal
1175	Gloden	Bronze
1176	Gloden	Gloden
1177	Bronze	Bronze
1178	Bronze	Gloden
1179	Normal	Normal
1180	Silver	Bronze
1181	Bronze	Bronze
1182	Bronze	Bronze
1183	Normal	Normal
1184	Bronze	Bronze
1185	Silver	Bronze
1186	Bronze	Silver
1187	Bronze	Bronze
1188	Gloden	Gloden
1189	Bronze	Bronze
1190	Gloden	Gloden
1191	Normal	Normal
1192	Bronze	Bronze
1193	Bronze	Normal
1194	Gloden	Gloden
1195	Bronze	Bronze
1196	Bronze	Bronze
1197	Gloden	Bronze
1198	Bronze	Bronze
1199	Bronze	Silver
1200	Silver	Bronze
1201	Silver	Silver
1202	Gloden	Gloden
1203	Bronze	Bronze
1204	Silver	Normal
1205	Bronze	Gloden
1206	Normal	Normal
